15280214634	16160892861	20180413115721	1177
19342117869	14171709460	20180418153528	0599
19154926260	15305526350	20180516091228	2435
15647679901	19565082510	20180618003525	0811
19154926260	13319935953	20180817101931	0135
14171709460	14930423697	20181225184957	0770
15884588694	15647679901	20180908143419	2475
17336673697	16160892861	20180517082433	0417
14171709460	19565082510	20181230170430	0718
17336673697	17405139883	20180419175926	2019
18101213362	14397114174	20181223050227	2112
14410679238	18101213362	20181127153447	1389
19154926260	14410679238	20180920131457	0734
19154926260	15781588029	20180613020036	2934
14930423697	16160892861	20180622004825	1059
16160892861	19342117869	20180808075431	0496
14410679238	15781588029	20180829141401	1297
15280214634	15244749863	20180128132357	1311
15781588029	18101213362	20181125203614	2896
19154926260	19683537146	20180605021511	0362
15280214634	14410679238	20180831121921	1166
